strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10281,10,10,10,1.0,True,1242.9698959709938,12429.698959709938,8138.698959709939,40693.4947985497,3535.0,707,706,10,10,10,10,10,1862.0,6065.0,0.028542489002575167
deferred,10282,10,10,10,1.0,True,1202.0662755772132,12020.662755772131,7897.66275577213,39488.313778860655,3395.0,679,678,10,10,10,8,8,2094.8,5549.0,0.017257234998396598
deferred,10283,16,16,16,1.0,True,712.7227405815448,11403.563849304717,8186.563849304715,40932.81924652358,2615.0,523,522,16,16,16,13,13,2766.875,7523.0,0.025716697000461863
deferred,10284,12,12,12,1.0,True,1043.310968204831,12519.73161845797,8674.731618457972,43373.65809228984,3155.0,631,630,12,12,12,8,8,2298.0,8339.0,0.022990474000835093
deferred,10285,12,12,12,1.0,True,1044.3626677133586,12532.352012560305,8051.352012560311,40256.76006280154,3685.0,737,736,12,12,12,16,16,3346.0,8189.0,0.022420072000386426
deferred,10286,16,16,16,1.0,True,660.3174708244599,10565.079533191358,7288.079533191357,36440.397665956785,2665.0,533,532,16,16,16,24,24,1880.0,5399.0,0.03857165299996268
deferred,10287,14,14,14,1.0,True,905.5676468037437,12677.947055252413,8678.94705525241,43394.73527626206,3275.0,655,654,14,14,14,16,16,2804.8571428571427,7355.0,0.026951706000545528
deferred,10288,10,10,10,1.0,True,1221.1691770966868,12211.691770966869,7843.6917709668705,39218.45885483435,3600.0,720,718,10,10,10,8,8,2996.6,8111.0,0.02736103099960019
deferred,10289,10,10,10,1.0,True,1245.2617039665965,12452.617039665965,7969.617039665964,39848.08519832982,3695.0,739,738,10,10,10,8,8,2983.4,6353.0,0.016073433002020465
deferred,10290,12,12,12,1.0,True,1032.910317078449,12394.923804941389,8087.923804941385,40439.61902470693,3540.0,708,707,12,12,12,12,12,2959.5,6455.0,0.02484266099781962
deferred,10291,15,15,15,1.0,True,850.498692964465,12757.480394466975,8285.480394466971,41427.40197233486,3665.0,733,732,15,15,15,20,20,4071.8,8657.0,0.028063311001460534
deferred,10292,12,12,12,1.0,True,1014.9628071701941,12179.553686042329,8052.55368604233,40262.768430211654,3390.0,678,677,12,12,12,13,13,2453.0,6011.0,0.021020722997491248
deferred,10293,16,16,16,1.0,True,565.9032671108241,9054.452273773186,6173.452273773184,30867.26136886592,2335.0,467,466,16,16,16,16,16,1818.125,6371.0,0.0284617649995198
deferred,10294,12,12,12,1.0,True,1022.5228095166293,12270.273714199551,7927.273714199554,39636.368570997765,3570.0,714,713,12,12,12,15,15,2698.0,6107.0,0.023983563998626778
deferred,10295,14,14,14,1.0,True,867.6439066159018,12147.014692622624,8154.014692622625,40770.07346311313,3270.0,654,653,14,14,14,17,17,2938.5714285714284,8723.0,0.028540885999973398
deferred,10296,15,15,15,1.0,True,825.6338490978284,12384.507736467425,8538.507736467422,42692.53868233713,3145.0,629,626,15,15,15,14,14,3124.6,6407.0,0.043626747999951476
deferred,10297,14,14,14,1.0,True,898.4137223738461,12577.792113233845,8940.792113233843,44703.96056616921,2975.0,595,592,14,14,14,11,11,2429.4285714285716,6857.0,0.044660797000688035
deferred,10298,10,10,10,1.0,True,1240.9249480463482,12409.249480463483,8030.249480463481,40151.24740231741,3610.0,722,719,10,10,10,12,12,2217.2,6785.0,0.07727611899827025
deferred,10299,11,11,11,1.0,True,1159.9404647838937,12759.345112622832,8331.345112622834,41656.72556311417,3645.0,729,728,11,11,11,13,13,1998.090909090909,7301.0,0.02015938100157655
deferred,10300,15,15,15,1.0,True,731.4580044137898,10971.870066206848,7939.870066206847,39699.35033103425,2465.0,493,492,15,15,15,17,17,1373.4,4577.0,0.03350043899990851
deferred,10301,11,11,11,1.0,True,1155.6507182666087,12712.157900932696,8092.157900932697,40460.78950466348,3805.0,761,760,11,11,11,12,12,2594.2727272727275,5819.0,0.01799297899924568
deferred,10302,10,10,10,1.0,True,1237.5445229160973,12375.445229160974,7970.445229160977,39852.22614580487,3630.0,726,725,10,10,10,9,9,3203.6,6953.0,0.021310400999936974
