seed,channel,localize_count,localize_movement_distance_m,localize_movement_time_s,clear_action_count,clear_movement_distance_m,clear_movement_time_s,first_found_virtual_time_s,cleared_virtual_time_s,found_to_clear_s,localize_source_types
321108,5,0,0.0,0,1,1757.5509470944655,351.5101894188931,29.0,3903.999558271952,3874.999558271952,
321108,6,1,738.8243895610315,147.7648779122063,1,10.348444924650902,2.0696889849301803,388.0,4366.682791554415,3978.6827915544154,mec_center:1
321108,7,4,1618.2478215193405,323.6495643038681,1,7.961631363263196,1.5923262726526393,1456.0,3415.8392602861886,1959.8392602861886,centroid:2;chebyshev_center:1;mec_center:1
321108,8,1,908.4845296563944,181.69690593127888,0,0.0,0,47.0,4559.379697485694,4512.379697485694,mec_center+task2_geometry:1
321108,9,1,407.4053197955584,81.48106395911168,1,15.20690632574555,3.04138126514911,1108.0,4910.680356657654,3802.6803566576536,mec_center:1
321108,10,4,683.9759345807208,136.79518691614416,1,8.605178559972627,1.7210357119945254,406.0,4068.5157809000907,3662.5157809000907,centroid:1;chebyshev_center:2;mec_center:1
321108,11,1,584.2537716387575,116.8507543277515,1,13.637752789760889,2.7275505579521777,65.0,3141.2246081043727,3076.2246081043727,chebyshev_center:1
321108,12,5,751.7325322366578,150.34650644733156,0,0.0,0,2190.1109113529446,2627.138453311161,437.02754195821626,centroid:2;chebyshev_center+task2_e_optimal:1;mec_center:2
321108,14,1,462.5544985737441,92.51089971474883,1,10.763286769185402,2.1526573538370806,83.0,2945.563893313071,2862.563893313071,chebyshev_center:1
321108,15,1,253.56693795402998,50.71338759080599,1,16.84511157395986,3.369022314791972,89.0,3010.646303218669,2921.646303218669,chebyshev_center:1
321108,16,5,603.1340528196885,120.6268105639377,1,10.271124734732798,2.0542249469465594,2202.1109113529446,2445.7919468638293,243.6810355108846,chebyshev_center:2;mec_center:3
321108,17,1,329.99068227250694,65.99813645450139,1,7.435274944739194,1.4870549889478388,101.0,3219.709799547822,3118.709799547822,mec_center:1
321108,18,0,0.0,0,1,1038.8094146666174,207.76188293332348,107.0,2839.9003362444846,2732.9003362444846,
321108,19,0,0.0,0,1,633.2505428343509,126.65010856687017,113.0,3547.4893688530587,3434.4893688530587,
321109,1,1,211.94092501708073,42.38818500341615,1,9.531154543749167,1.9062309087498335,5.0,4240.663470203906,4235.663470203906,chebyshev_center:1
321109,3,1,1308.8860582971342,261.7772116594268,1,9.7495180747497,1.94990361494994,17.0,2954.2877861148904,2937.2877861148904,chebyshev_center:1
321109,4,1,252.83393759541065,50.566787519082126,1,15.811388300841895,3.162277660168379,1100.6055759697542,3859.4685953069684,2758.863019337214,mec_center:1
321109,5,1,1533.0117416380085,306.6023483276017,1,10.0,2.0,29.0,4560.265818531509,4531.265818531509,mec_center:1
321109,6,1,784.4727764620807,156.89455529241613,0,0.0,0,35.0,2605.5458954215846,2570.5458954215846,chebyshev_center:1
321109,7,1,378.87875650334786,75.77575130066957,0,0.0,0,41.0,3228.6808752131356,3187.6808752131356,chebyshev_center:1
321109,8,1,304.4672753768463,60.89345507536926,1,10.606601717798213,2.121320343559643,381.99999999999994,2679.5606708405135,2297.5606708405135,mec_center+task2_geometry:1
321109,9,1,748.2266854091647,149.64533708183293,1,95.2955927627296,19.059118552545918,736.0,4185.369054291741,3449.369054291741,mec_center:1
321109,10,1,459.13509877522506,91.82701975504501,1,8.240544544777602,1.6481089089555205,59.0,3141.905123912466,3082.905123912466,centroid:1
321109,11,1,352.24190858268173,70.44838171653635,1,8.469137085192017,1.6938274170384033,65.0,3037.4299952484653,2972.4299952484653,chebyshev_center:1
321109,13,1,1443.6001004433324,288.7200200886665,1,10.606601717798213,2.121320343559643,77.0,4161.309935739195,4084.3099357391948,mec_center:1
321109,14,1,280.63408472457024,56.12681694491405,1,10.194731045022658,2.0389462090045316,1112.6055759697542,3794.739530127718,2682.1339541579637,chebyshev_center:1
321109,16,4,579.5374863264291,115.90749726528581,0,0.0,0,2199.743842863883,2437.6513401291686,237.90749726528566,chebyshev_center:2;mec_center:2
321109,17,0,0.0,0,1,1453.4045205409723,290.68090410819445,101.0,3725.573766973799,3624.573766973799,
321109,19,2,1704.0800047172331,340.8160009434466,0,0.0,0,1484.6055759697542,3429.8928628656045,1945.2872868958502,centroid:1;mec_center:1
321109,20,1,693.3839124179332,138.67678248358663,1,7.905694150420947,1.5811388300841895,363.99999999999994,4711.52373984518,4347.52373984518,mec_center:1
