base_seed,emitter_count,directional_probability,realized_directional_count,realized_directional_fraction,strategy,all_cleared,cleared_count,virtual_time_s,within_6000,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,channel_switch_count,switch_time_s,optical_count,optical_time_s,clear_success_count,successful_clear_time_s,directional_loss_count,directional_reacquisition_count,first_clear_time_s,last_clear_time_s,post_last_clear_time_s,seen_channel_count,cost_accounting_residual_s,wall_time_s
60000,16,1.0,16,1.0,adaptive_double_ring_clear_probe,True,16,6130.449254108433,False,4686.449254108438,23432.246270542175,1105.0,221,185,0.8371040723981901,202,202.0,35,105.0,16,32.0,9,9,1142.2128349597035,6130.449254108433,0.0,16,-5.4569682106375694e-12,0.8108229219942586
60001,10,0.0,0,0.0,double_ring_optical_clear_probe,True,10,6428.55491124096,False,4357.554911240962,21787.7745562048,1705.0,341,312,0.9149560117302052,316,316.0,10,30.0,10,20.0,0,0,1125.2918848920658,6428.55491124096,0.0,10,-1.8189894035458565e-12,0.5060203729954083
60001,10,0.0,0,0.0,adaptive_double_ring_clear_probe,True,10,6078.688408661511,False,4100.688408661511,20503.442043307557,1615.0,323,299,0.9256965944272446,298,298.0,15,45.0,10,20.0,0,0,702.5380641626325,5953.085044747899,125.60336391361216,10,0.0,0.6451154969981872
60001,10,0.25,4,0.4,double_ring_optical_clear_probe,True,10,6617.952392264171,False,4390.952392264175,21954.76196132087,1825.0,365,339,0.9287671232876712,340,340.0,14,42.0,10,20.0,1,1,530.1486881458135,6617.952392264171,0.0,10,-3.637978807091713e-12,0.4610681990016019
60001,10,0.25,4,0.4,adaptive_double_ring_clear_probe,True,10,6728.308315222986,False,4587.308315222986,22936.54157611493,1750.0,350,319,0.9114285714285715,326,326.0,15,45.0,10,20.0,3,3,530.1486881458135,5345.212136882756,1383.09617834023,10,0.0,0.6489724529965315
60001,10,0.5,5,0.5,double_ring_optical_clear_probe,True,10,6784.994464871201,False,4503.994464871204,22519.97232435602,1870.0,374,346,0.9251336898395722,349,349.0,14,42.0,10,20.0,2,2,530.1486881458135,6784.994464871201,0.0,10,-3.637978807091713e-12,0.4870405469991965
60001,10,0.5,5,0.5,adaptive_double_ring_clear_probe,True,10,6728.308315222986,False,4587.308315222986,22936.54157611493,1750.0,350,319,0.9114285714285715,326,326.0,15,45.0,10,20.0,3,3,530.1486881458135,5345.212136882756,1383.09617834023,10,0.0,0.6455686740082456
60001,10,0.75,6,0.6,double_ring_optical_clear_probe,True,10,6823.392360954242,False,4488.392360954242,22441.961804771207,1925.0,385,358,0.9298701298701298,360,360.0,10,30.0,10,20.0,2,2,530.1486881458135,6823.392360954242,0.0,10,0.0,0.48863034100213554
60001,10,0.75,6,0.6,adaptive_double_ring_clear_probe,True,10,6801.860584778524,False,4594.860584778524,22974.302923892625,1805.0,361,332,0.9196675900277008,337,337.0,15,45.0,10,20.0,4,4,530.1486881458135,5418.372039528875,1383.4885452496492,10,0.0,0.6748956740048015
60001,10,1.0,10,1.0,double_ring_optical_clear_probe,True,10,8226.373039031549,False,5759.373039031548,28796.865195157734,2035.0,407,374,0.918918918918919,382,382.0,10,30.0,10,20.0,8,8,1602.0065907005387,8226.373039031549,0.0,10,1.8189894035458565e-12,0.99422730000515
60001,10,1.0,10,1.0,adaptive_double_ring_clear_probe,True,10,7017.432570909463,False,4669.432570909465,23347.162854547318,1935.0,387,357,0.9224806201550387,363,363.0,10,30.0,10,20.0,8,8,1596.0065907005387,7017.432570909463,0.0,10,-1.8189894035458565e-12,0.7290620159910759
