study,scenario_id,selected_x,selected_y,objective_m,realized_mean_diameter_m,realized_p95_diameter_m,selection_runtime_s,candidate_count,exact_evaluation_count,f1_area_m2,f1_diameter_m,selected_point_shift_m,objective_delta_m
ED-low-sampling-10x3,11,1212.5,612.5,45.319484556796496,58.40700644063956,60.0058731848631,0.9977857000048971,308,900,28080.865710781847,1269.2360349679059,50.0,-3.4981463827814565
ED-medium-sampling-20x5,0,62.5,-1237.5,52.424399637631616,54.667811192740885,55.315541339448835,1.494330200002878,283,3000,35534.59609434849,1436.922053628629,70.71067811865476,-1.9888970263940493
ED-medium-sampling-20x5,1,-1137.5,162.5,46.223589381517364,48.66510713091551,48.76144260150213,1.4439662000077078,251,3000,26418.200494837787,1262.7968672303039,70.71067811865476,0.2296557947950717
ED-medium-sampling-20x5,2,212.5,-587.5,59.24550524493018,55.002041691434854,55.681320710153244,1.6297721000009915,304,3000,39269.463539144635,1495.0030560486202,1167.2617529928752,0.7853868778355988
ED-medium-sampling-20x5,3,62.5,1212.5,40.01743800664564,55.50043895698011,56.66708710218266,1.5264613000035752,279,3000,22530.430630259376,1143.649282924671,70.71067811865476,1.1209883014661628
ED-medium-sampling-20x5,4,12.5,-537.5,58.9641231396472,68.90474758841731,69.59679378900817,1.828395200005616,370,3000,39269.463539144606,1495.00305604862,70.71067811865476,4.213157426198066
ED-medium-sampling-20x5,5,1412.5,612.5,23.446723524569244,26.554700192583176,27.222097827202568,1.4872242999990704,258,3000,6839.727358156278,625.5498386257145,50.0,0.44099584396450453
ED-medium-sampling-20x5,6,162.5,-1637.5,11.77466378578058,16.265388747882405,16.542151281262854,1.372527200001059,210,3000,1735.5245894144757,313.6946054206885,0.0,0.01604243565581598
ED-medium-sampling-20x5,7,-387.5,-1087.5,54.24663465192348,43.49795467874517,43.57968217230857,1.5697180999995908,310,3000,39269.46353914455,1495.0030560486202,70.71067811865476,-0.8825925362313569
ED-medium-sampling-20x5,8,-787.5,-1187.5,57.61269900514612,73.2415696264961,73.92298992221147,1.5911365999927511,313,3000,39269.46353914452,1495.0030560486202,70.71067811865476,-0.04201612165770996
ED-medium-sampling-20x5,9,-737.5,-87.5,59.24414087612896,42.1213168639834,42.16185183671094,1.5888907000044128,286,3000,39269.463539144606,1495.0030560486202,0.0,-1.6125633065453258
ED-medium-sampling-20x5,10,-687.5,-1187.5,27.495811523520445,27.764904781291353,28.035835146512195,1.441414300003089,251,3000,8722.06263586226,715.9926102301956,111.80339887498948,1.434974217879052
ED-medium-sampling-20x5,11,1312.5,612.5,46.96326022609972,70.21895769434464,72.56092459236027,1.4853618000051938,281,3000,28080.865710781847,1269.2360349679059,50.0,-1.8543707134782323
ED-high-sampling-40x9,0,112.5,-1187.5,53.77747924591104,51.35107544440778,51.8610963737835,3.4607977000123356,283,10800,35534.59609434849,1436.922053628629,0.0,-0.6358174181146268
ED-high-sampling-40x9,1,-1187.5,212.5,45.86900880851368,55.31066243349765,55.441356531295476,3.523007099996903,251,10800,26418.200494837787,1262.7968672303039,0.0,-0.1249247782086158
ED-high-sampling-40x9,2,212.5,-587.5,58.58141905641735,55.002041691434854,55.681320710153244,3.67446259999997,305,10800,39269.463539144635,1495.0030560486202,1167.2617529928752,0.12130068932277283
ED-high-sampling-40x9,3,12.5,1262.5,38.869696564297186,54.49442482107439,55.62042286416419,3.5665038999868557,275,10800,22530.430630259376,1143.649282924671,0.0,-0.02675314088229186
ED-high-sampling-40x9,4,712.5,462.5,55.55603976708657,66.50397337356321,67.2815723156028,3.7806973999977345,360,10800,39269.463539144606,1495.00305604862,1234.908903522847,0.8050740536374335
ED-high-sampling-40x9,5,1412.5,662.5,22.066475330088192,25.997777632290973,26.632840477543827,3.473634800000582,258,10800,6839.727358156278,625.5498386257145,0.0,-0.9392523505165471
ED-high-sampling-40x9,6,162.5,-1637.5,12.223728775721487,16.265388747882405,16.542151281262854,3.3372404999972787,210,10800,1735.5245894144757,313.6946054206885,0.0,0.465107425596722
ED-high-sampling-40x9,7,-487.5,-1087.5,55.71496250785847,45.41226515865587,45.495475336918545,3.7277402999898186,310,10800,39269.46353914455,1495.0030560486202,70.71067811865476,0.5857353197036375
ED-high-sampling-40x9,8,-937.5,162.5,59.01331050188624,63.9724322891945,65.56559640349599,3.733299400002579,349,10800,39269.46353914452,1495.0030560486202,1303.8404810405298,1.358595375082409
ED-high-sampling-40x9,9,-737.5,-87.5,57.33926080395654,42.1213168639834,42.16185183671094,3.5806318999966606,288,10800,39269.463539144606,1495.0030560486202,0.0,-3.5174433787177435
ED-high-sampling-40x9,10,-737.5,-1287.5,25.53300824926453,38.329965334319226,38.92679187041703,3.4244932000001427,251,10800,8722.06263586226,715.9926102301956,0.0,-0.5278290563768628
ED-high-sampling-40x9,11,1212.5,612.5,48.82575017729975,58.40700644063956,60.0058731848631,3.4275493000022834,265,10800,28080.865710781847,1269.2360349679059,50.0,0.008119237721800232
